"Sura ID","Aya Number","Word Number",Content
2,198,16,"https://earth.google.com/web/@21.3862203,39.9124557,315.0190713a,975.67161614d,35y,0h,45t,0r/data=CpkBGpYBEo8BCiUweDE1YzIwNjkxMDY3MmRhZjM6MHg1YzYzZTMwYjZlZmQyMTEzGXCdNS7SYjVAIbHz23zI9ENAKlTZhdiz2KzYryDYp9mE2YXYtNi52LEg2KfZhNit2LHYp9mF2Iwg2LfYsdmK2YIg2KfZhNmF2LTYp9ipIDTYjCDZhdmD2Kkg2KfZhNmF2YPYsdmF2KkYAiABKAI"
2,198,17,"https://earth.google.com/web/@21.3862203,39.9124557,315.0190713a,975.67161614d,35y,0h,45t,0r/data=CpkBGpYBEo8BCiUweDE1YzIwNjkxMDY3MmRhZjM6MHg1YzYzZTMwYjZlZmQyMTEzGXCdNS7SYjVAIbHz23zI9ENAKlTZhdiz2KzYryDYp9mE2YXYtNi52LEg2KfZhNit2LHYp9mF2Iwg2LfYsdmK2YIg2KfZhNmF2LTYp9ipIDTYjCDZhdmD2Kkg2KfZhNmF2YPYsdmF2KkYAiABKAI"
2,217,17,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
2,217,18,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
3,96,3,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
3,96,7,"https://earth.google.com/web/@21.47593997,39.81362414,405.32323943a,65433.07013623d,35y,269.93228627h,0t,0r
"
3,97,4,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CpEBGo4BEocBCiUweDE1YzIwNGIzZmZmZmZmZmY6MHhkMmE1MTczMjFlOGQyN2ZiKl7ZhdmC2KfZhSDYs9mK2K_ZhtinINil2KjYsdin2YfZitmFCti52YTZitmHINin2YTYs9mE2KfZhQrYrdis2LEg2YXZgtiv2ZHYsyDZgdmKICLYp9mE2YPYudio2KkiGAIgAQ"
3,123,4,"https://earth.google.com/web/@23.77202541,38.7897766,106.95735065a,150.82637363d,35y,0h,0t,0r/data=Cl0aWxJVCiUweDE1YmVkNzBmNWFkZDE2YWY6MHhjMzEzOTFjODU0YzI2Njc3GaLcxxuqxTdAIdfuaC0WZUNAKhrYs9in2K3YqSDZhdi52LHZg9ipINio2K_YsRgCIAE"
5,2,17,"https://earth.google.com/web/@21.4225921,39.82613887,289.46417662a,50.77430355d,35y,119.55082755h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,2,18,"https://earth.google.com/web/@21.4225921,39.82613887,289.46417662a,50.77430355d,35y,119.55082755h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,2,34,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,2,35,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,21,3,"https://earth.google.com/web/@31.52292203,34.10700755,268.30781037a,573747.40538791d,35y,0h,0t,0r/data=CjsaORIzCiUweDE1MDJkN2Q2MzRjMWZjNGI6MHhkOTZmNjIzZTQ1NmVlMWNiKgrYp9mE2YLYr9izGAIgAQ
"
5,21,4,"https://earth.google.com/web/@31.52292203,34.10700755,268.30781037a,573747.40538791d,35y,0h,0t,0r/data=CjsaORIzCiUweDE1MDJkN2Q2MzRjMWZjNGI6MHhkOTZmNjIzZTQ1NmVlMWNiKgrYp9mE2YLYr9izGAIgAQ
"
5,95,26,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,97,3,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,97,4,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
5,97,5,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
6,92,10,"https://earth.google.com/web/@21.47593997,39.81362414,405.32323943a,65433.07013623d,35y,269.93228627h,0t,0r/data=CkYaRBI-CiUweDE1YzIxYjRjZWQ4MTg3NzU6MHg5OGFiMjQ2OWNmNzBjOWNlKhXZhdmD2Kkg2KfZhNmF2YPYsdmF2KkYAiAB"
6,92,11,"https://earth.google.com/web/@21.47593997,39.81362414,405.32323943a,65433.07013623d,35y,269.93228627h,0t,0r/data=CkYaRBI-CiUweDE1YzIxYjRjZWQ4MTg3NzU6MHg5OGFiMjQ2OWNmNzBjOWNlKhXZhdmD2Kkg2KfZhNmF2YPYsdmF2KkYAiAB"
7,82,10,"https://earth.google.com/web/@31.13895669,35.37189747,-374.24282109a,18327.04625031d,35y,0h,0t,0r"
7,85,2,"https://earth.google.com/web/28.48765776,35.00328582,246.15931105"
7,88,13,"https://earth.google.com/web/28.48765776,35.00328582,246.15931105"
7,111,6,"             "
7,123,14,https://goo.gl/maps/YKpSWRefZDd5SbpEA
8,34,9,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
8,34,10,"https://earth.google.com/web/@21.42251935,39.82601607,290.59763132a,83.31656857d,35y,-0h,0t,0r/data=CnQachJsCiUweDE1YzIwNGI3NGMyOGQ0Njc6MHhiMmY1NDNhNjE4MjI1NzY3KkPYp9mE2YPYudio2KkK2YXYs9is2K8g2YXZgtiv2ZHYsyDZiNmF2YjZgti5CtmE2K3YrCDYp9mE2YXYs9mE2YXZitmGGAIgAQ"
